"ad identifier (state, year, race, sponsor, candidate, seconds pro, seconds con)",url,candidate,sponsor,network,date_time (UTC),date_time (EDT),Date,Time,"seconds

into program",identifier,party or PAC,State,Office,Pro / seconds,Con / seconds
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WTXF_20140902_110000_Good_Day_Philadelphia#start/1382.9/end/1413.0,Tom Corbett (con),Philadelphia Federation of Teachers,WTXF,20140902_110000,20140902_070000,"September 2, 2014",7:00 AM,1383,WTXF_20140902_110000_Good_Day_Philadelphia#start/1382.9/end/1413.0,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/KYW_20140902_110000_CBS_This_Morning#start/3568.5/end/3598.7,Tom Corbett (con),Philadelphia Federation of Teachers,KYW,20140902_110000,20140902_070000,"September 2, 2014",7:00 AM,3569,KYW_20140902_110000_CBS_This_Morning#start/3568.5/end/3598.7,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WTXF_20140902_110000_Good_Day_Philadelphia#start/4309.3/end/4339.0,Tom Corbett (con),Philadelphia Federation of Teachers,WTXF,20140902_110000,20140902_070000,"September 2, 2014",7:00 AM,4309,WTXF_20140902_110000_Good_Day_Philadelphia#start/4309.3/end/4339.0,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WTXF_20140902_110000_Good_Day_Philadelphia#start/5950.6/end/5980.5,Tom Corbett (con),Philadelphia Federation of Teachers,WTXF,20140902_110000,20140902_070000,"September 2, 2014",7:00 AM,5951,WTXF_20140902_110000_Good_Day_Philadelphia#start/5950.6/end/5980.5,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WPVI_20140902_110000_Good_Morning_America#start/6381.6/end/6411.2,Tom Corbett (con),Philadelphia Federation of Teachers,WPVI,20140902_110000,20140902_070000,"September 2, 2014",7:00 AM,6382,WPVI_20140902_110000_Good_Morning_America#start/6381.6/end/6411.2,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WCAU_20140902_110000_Today#start/7177.8/end/7207.9,Tom Corbett (con),Philadelphia Federation of Teachers,WCAU,20140902_110000,20140902_070000,"September 2, 2014",7:00 AM,7178,WCAU_20140902_110000_Today#start/7177.8/end/7207.9,D-PAC,PA,Governor,0,30
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WCAU_20140902_110000_Today#start/1184.8/end/1214.3,Tom Wolf (pro),Tom Wolf for Governor,WCAU,20140902_110000,20140902_070000,"September 2, 2014",7:00 AM,1185,WCAU_20140902_110000_Today#start/1184.8/end/1214.3,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WCAU_20140902_110000_Today#start/1184.5/end/1214.8,Tom Wolf (pro),Tom Wolf for Governor,WCAU,20140902_110000,20140902_070000,"September 2, 2014",7:00 AM,1185,WCAU_20140902_110000_Today#start/1184.5/end/1214.8,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/KYW_20140902_110000_CBS_This_Morning#start/6295.0/end/6324.9,Tom Wolf (pro),Tom Wolf for Governor,KYW,20140902_110000,20140902_070000,"September 2, 2014",7:00 AM,6295,KYW_20140902_110000_CBS_This_Morning#start/6295.0/end/6324.9,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/KYW_20140902_110000_CBS_This_Morning#start/6295.0/end/6324.6,Tom Wolf (pro),Tom Wolf for Governor,KYW,20140902_110000,20140902_070000,"September 2, 2014",7:00 AM,6295,KYW_20140902_110000_CBS_This_Morning#start/6295.0/end/6324.6,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WPVI_20140902_110000_Good_Morning_America#start/6860.6/end/6890.7,Tom Wolf (pro),Tom Wolf for Governor,WPVI,20140902_110000,20140902_070000,"September 2, 2014",7:00 AM,6861,WPVI_20140902_110000_Good_Morning_America#start/6860.6/end/6890.7,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WPVI_20140902_110000_Good_Morning_America#start/6860.6/end/6890.4,Tom Wolf (pro),Tom Wolf for Governor,WPVI,20140902_110000,20140902_070000,"September 2, 2014",7:00 AM,6861,WPVI_20140902_110000_Good_Morning_America#start/6860.6/end/6890.4,D,PA,Governor,30,0
PA_2014_Gov_Tom_Wolf_for_Governor_Tom_Wolf_(pro)_pro_30_con_0_#3,https://archive.org/details/WTXF_20140902_110000_Good_Day_Philadelphia#start/7115.0/end/7144.7,Tom Wolf (pro),Tom Wolf for Governor,WTXF,20140902_110000,20140902_070000,"September 2, 2014",7:00 AM,7115,WTXF_20140902_110000_Good_Day_Philadelphia#start/7115.0/end/7144.7,D,PA,Governor,30,0
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WPVI_20140902_210000_Action_News_500_PM#start/1322.5/end/1352.7,Tom Corbett (con),Philadelphia Federation of Teachers,WPVI,20140902_210000,20140902_170000,"September 2, 2014",5:00 PM,1323,WPVI_20140902_210000_Action_News_500_PM#start/1322.5/end/1352.7,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/KYW_20140902_210000_Eyewitness_News_at_5#start/1377.9/end/1407.7,Tom Corbett (con),Philadelphia Federation of Teachers,KYW,20140902_210000,20140902_170000,"September 2, 2014",5:00 PM,1378,KYW_20140902_210000_Eyewitness_News_at_5#start/1377.9/end/1407.7,D-PAC,PA,Governor,0,30
PA_2014_Gov_Philadelphia_Federation_of_Teachers_Tom_Corbett_(con)_pro_0_con_30,https://archive.org/details/WCAU_20140902_210000_NBC_10_News_at_5pm#start/2424.1/end/2454.7,Tom Corbett (con),Philadelphia Federation of Teachers,WCAU,20140902_210000,20140902_170000,"September 2, 2014",5:00 PM,2424,WCAU_20140902_210000_NBC_10_News_at_5pm#start/2424.1/end/2454.7,D-PAC,PA,Governor,0,30
